tokenizer,avg_compression,avg_fertility,vocab_utilization,vocab_size,dataset_size
lp_4096_det,1289.4817352294922,0.2808443717725086,0.9990236758603857,4097,65536
lp_16384_bias,1069.6873626708984,0.23317102845411558,0.9993286542569423,16385,65536
lp_2048_bias,1558.5188903808594,0.33996631538782557,0.9980478282088824,2049,65536
lp_65536_det,951.644775390625,0.20823533668763067,0.9908753833712254,65537,65536
lp_32768_bias,993.1575469970703,0.2168619063960908,0.9986572675394427,32769,65536
lp_1024_bias,1865.8736877441406,0.4076277900132097,0.9960975609756098,1025,65536
lp_8192_det,1148.5072479248047,0.25017842151372655,0.9993897229342121,8193,65536
lp_16384_det,1049.3697967529297,0.22883654857444818,0.9992676228257552,16385,65536
lp_1024_det,1779.3937377929688,0.38851219595074044,0.9960975609756098,1025,65536
lp_32768_det,987.4203643798828,0.21569304675070156,0.9982910677774726,32769,65536
lp_4096_bias,1343.8917999267578,0.2927199049048564,0.9990236758603857,4097,65536
lp_2048_det,1503.7703552246094,0.32782345734797547,0.9980478282088824,2049,65536
lp_8192_bias,1186.2613525390625,0.25836721226891723,0.9993897229342121,8193,65536
lp_65536_bias,953.2690582275391,0.20854895643583657,0.9917603796328791,65537,65536
lp_131072_bias,932.5942077636719,0.20430890008096506,0.959747621554401,131073,65536
lp_131072_det,932.0346374511719,0.20420843948841735,0.9551318730783609,131073,65536
