bias,vocabulary_size,lp_value, num_steps, time,c_num_1,c_num_0,f_num_1,f_num_0,p_num_1,p_num_0
0.01,  8192, 1.00351734, 115800,  1427.307, 5306, 11892,  1487048,5618348,662673,14645113
0.01,  16384, 1.00313173, 27600,  421.777, 11800,  22574,  1048023, 4810381,855572,14570626
0.01,32768,1.00383569,4000,113.814,24651,44274,576864,3756308,860549,15372470
0.01,65536,1.0030499,3900,150.958,53785,90283,345474,2658501,1245200,13129483
0.01,131072,1.00310473,4200,115.368,112754,166198,233119,1873596,1514665,11124981
0.01,262144,1.00272284,4500,134.712,237097,299659,225388,1253211,1867096,8558392
0.05,8192,1.01338044,129800,1591.047,5315,11655,1481674,5138159,696935,13304338
0.05,16384,1.01301980,25600,365.094,11735,22940,1049114,4780612,847917,14359718
0.05,32768,1.01410468,3800,147.334,23956,45981,512671,4243618,692184,16250228
0.05,65536,1.01268513,3900,116.019,52375,94706,346329,3071408,1158468,13670543
0.05,131072,1.01168796,4300,149.538,106996,180479, 243571,2369855,1337586,12095748
0.05,262144,1.00976184,5300,138.937,240455,294510,364994,1240625,2604193,6907595
0.1,8192,1.02414147,105600,1307.029,5280,11753,1473712,5261235,680906,13473690
0.1,16384,1.02338605,25200,366.637,11517,23223,1045865,4914086,798926,14516369
0.1,32768,1.02368248,3700,141.876,23458,47236,484220,4618926,629276,16755650
0.1,65536,1.02151466,3700,111.080,50873,96053,345512,3477370,1050642,14254747
0.1,131072,1.01877268,4300,156.764,102981,183780,263766,2739590,1273446,12665041
0.1,262144,1.01525949,5300,133.040,231957,305609,366068,1542086,2376202,7642534
